paso,desempeno_acoplado,desempeno_acoplado_de,desempeno_desacoplado,desempeno_desacoplado_de
117,0.9915587620912714,0.008627197672502489,1.0,0.0
118,0.9914233822339318,0.009705823451741799,1.0,0.0
119,0.9925455973585566,0.008665657337237818,1.0,0.0
120,0.9900817206247493,0.0074376159130460215,1.0,0.0
121,0.9953174957890907,0.006848647127162406,1.0,0.0
122,0.9918862167632009,0.007823487985295353,1.0,0.0
123,0.9937583479872084,0.007861969757878827,1.0,0.0
124,0.995822839933227,0.006980383953845897,1.0,0.0
125,0.9946679577741443,0.006970787791695487,1.0,0.0
126,0.9941343688174618,0.00808510996738519,1.0,0.0
127,0.99326060866394,0.008387834656714414,1.0,0.0
128,0.9917129636176063,0.008203447617611328,1.0,0.0
129,0.9932712964751906,0.007535660003522363,1.0,0.0
130,0.9929026909287747,0.007993396988809447,1.0,0.0
131,0.9920058497271419,0.008833751383655573,1.0,0.0
132,0.9953301219977084,0.007037945494442053,1.0,0.0
133,0.994243943731814,0.007172239503068901,1.0,0.0
134,0.9946262709830412,0.006322358753829329,1.0,0.0
135,0.9930627363830561,0.009097286467176367,1.0,0.0
136,0.9963495891910849,0.0055707047050852256,1.0,0.0
137,0.9918781636808897,0.008450266800971034,1.0,0.0
138,0.9951104551339309,0.0074661398227590945,1.0,0.0
139,0.9928466531693231,0.008529045167694756,1.0,0.0
140,0.9927349500031301,0.007630944554340191,1.0,0.0
141,0.996007695444053,0.00793874111327885,1.0,0.0
142,0.9925473020965169,0.006630127256291175,1.0,0.0
143,0.9927528349754854,0.009245904771336284,1.0,0.0
144,0.99264386281681,0.00703946155137981,1.0,0.0
145,0.994072437791989,0.007023208884109085,1.0,0.0
146,0.9917673940439912,0.006167414432980052,1.0,0.0
147,0.9909341680513813,0.009642180467786818,1.0,0.0
148,0.9936931303734174,0.0073566415925554775,1.0,0.0
149,0.9940836639681626,0.007773866968107968,1.0,0.0
150,0.9926003486187521,0.009945426275713872,1.0,0.0
151,0.9906846860994185,0.008032290688822585,1.0,0.0
152,0.9924990267853304,0.007621840857310059,1.0,0.0
153,0.9938097815124515,0.007575160140192375,1.0,0.0
154,0.9939555532519272,0.007309190542520773,1.0,0.0
155,0.9930787567836621,0.007867042273999215,1.0,0.0
156,0.9932025520357101,0.008047240967162311,1.0,0.0
157,0.9919740918050105,0.00928933369908886,1.0,0.0
158,0.994034562478165,0.0053362825955245415,1.0,0.0
159,0.9951011600133778,0.00634159516390994,1.0,0.0
160,0.9929588190350046,0.006823062223877158,1.0,0.0
161,0.9940065161149425,0.007289357069349631,1.0,0.0
162,0.9921789623125155,0.008803122624895418,1.0,0.0
163,0.9959525892535477,0.006292767219597722,1.0,0.0
164,0.9918017583784634,0.008399149781349568,1.0,0.0
165,0.9932287016809372,0.008968199687792347,1.0,0.0
166,0.9922174053225473,0.00970565674179259,1.0,0.0
167,0.9941019006502816,0.006493729210624829,1.0,0.0
168,0.9946923505198842,0.006207321510229932,1.0,0.0
169,0.9935118144806171,0.007308765304412721,1.0,0.0
170,0.9921547821736653,0.008993873336833734,1.0,0.0
171,0.9939407999992071,0.007504096721022241,1.0,0.0
172,0.9906428848330248,0.009699216718576731,1.0,0.0
173,0.991272739690264,0.00825222585493293,1.0,0.0
174,0.9923549233327457,0.0087977205738265,1.0,0.0
175,0.9938004946334486,0.007561954033293092,1.0,0.0
176,0.9929013007075401,0.008893947620059255,1.0,0.0
177,0.9935016166748714,0.00829595531135474,1.0,0.0
178,0.9902624534331125,0.00909139565272345,1.0,0.0
179,0.992366925929419,0.008317860605966499,1.0,0.0
180,0.9940425518000954,0.008007600376778907,1.0,0.0
181,0.9929402496041041,0.008772664179432826,1.0,0.0
182,0.9921870791184874,0.006322742648391324,1.0,0.0
183,0.9902470867687816,0.008669240724930445,1.0,0.0
184,0.9931144733141979,0.007248733153206125,1.0,0.0
185,0.9921504707912855,0.008073642352011436,1.0,0.0
186,0.9927879359205791,0.010240206559127095,1.0,0.0
187,0.994637397169941,0.007523358851007329,1.0,0.0
188,0.9921161198000071,0.010668693321139858,1.0,0.0
189,0.9910069146282398,0.008303374422476043,1.0,0.0
190,0.989993897585887,0.011328852475797749,1.0,0.0
191,0.9927534362638161,0.008001278986078768,1.0,0.0
192,0.9924653103823976,0.0074762369401838065,1.0,0.0
193,0.99007981283775,0.008984030408389593,1.0,0.0
194,0.9950408030256601,0.005685210066339452,1.0,0.0
195,0.9948761380266657,0.00603935708902969,1.0,0.0
196,0.9907810356019006,0.009141659101229176,1.0,0.0
197,0.9958873467902314,0.005580962016978896,1.0,0.0
198,0.9948947385769188,0.007791279375781437,1.0,0.0
199,0.9916143594080843,0.013100373276810136,1.0,0.0
200,0.9932982750250098,0.006759721289779883,1.0,0.0
201,0.9945304666400818,0.005715110285663744,1.0,0.0
202,0.9938092896813928,0.006932742590767292,1.0,0.0
203,0.9914085272524608,0.008912331348344626,1.0,0.0
204,0.9950351783653285,0.007396540087406941,1.0,0.0
205,0.9936095093579992,0.007270132311662758,1.0,0.0
206,0.9925679833499278,0.007779538016672683,1.0,0.0
207,0.9918929159924842,0.00822549014198614,1.0,0.0
208,0.9934120475202044,0.006253884531137097,1.0,0.0
209,0.9936445020955474,0.006414926476284237,1.0,0.0
210,0.9917449604167855,0.009169343001057127,1.0,0.0
211,0.9919073276325707,0.008975665856675393,1.0,0.0
212,0.9933373147372518,0.007359012941932629,1.0,0.0
213,0.991836063519019,0.0060914968252859195,1.0,0.0
214,0.99402588310606,0.007121937424659476,1.0,0.0
215,0.9904053378866967,0.007328743168337261,1.0,0.0
216,0.9922124232135855,0.007918616563551115,1.0,0.0
217,0.9908937533889487,0.009262622901741416,1.0,0.0
218,0.9934606486085672,0.006697399616718454,1.0,0.0
219,0.9909882286677131,0.010156095734352886,1.0,0.0
220,0.9955911479148921,0.006621872768357614,1.0,0.0
221,0.9949359053834758,0.007029301348740402,1.0,0.0
222,0.9942507491889194,0.008928666146403497,1.0,0.0
