crosstalk_densa,crosstalk_esparcida
0.8003684879288437,0.005681818181818182
0.7996714682840536,0.00784313725490196
0.7997991967871486,0.012264150943396227
0.7996520874751492,0.008333333333333333
0.7998365191146882,0.008163265306122448
0.7992112398323884,0.012222222222222223
0.8005251312828208,0.009375
0.7991844416562108,0.008474576271186442
0.8022670652715496,0.003409090909090909
0.8016193323368211,0.01276595744680851
0.7997245179063361,0.008333333333333335
0.799092513234182,0.012037037037037037
0.7994294219796576,0.00975609756097561
0.8006228201295466,0.010416666666666668
0.8005697644973413,0.011363636363636364
0.8009620189905048,0.009615384615384616
0.8026447105788425,0.008064516129032258
0.799275,0.009433962264150943
0.8019804462271246,0.012264150943396227
0.79775,0.011627906976744184
0.7987971638389465,0.012790697674418604
0.8018583187827388,0.015254237288135594
0.7990554156171285,0.005319148936170212
0.7979731410096991,0.014285714285714282
0.8005761523046091,0.008333333333333335
0.8010947997014183,0.012500000000000002
0.8004264927245357,0.011904761904761904
0.8010689134808853,0.016981132075471698
0.7995855312735494,0.014000000000000002
0.8009796626984127,0.01020408163265306
0.8012474798387098,0.01
0.7983494159471813,0.008333333333333333
0.7962446621451896,0.00859375
0.8036999748301034,0.011
0.8013344973808929,0.01764705882352941
0.7992858932598346,0.004716981132075472
0.8015087806084591,0.010784313725490196
0.8010934393638172,0.008333333333333333
0.8008771929824562,0.015384615384615385
0.7988789237668161,0.011458333333333333
0.7994977398292316,0.012264150943396225
0.800387887887888,0.009803921568627449
0.7990328109696375,0.01111111111111111
0.800949050949051,0.009
0.8002863545816732,0.008181818181818182
0.8006785624528776,0.008333333333333335
0.8027951085600199,0.010576923076923076
0.8017430278884463,0.008333333333333333
0.7988413098236776,0.01842105263157895
0.8005627813906953,0.009302325581395349
0.7985598787266296,0.009183673469387754
0.7989541832669321,0.014444444444444444
0.7999127617148555,0.011224489795918367
0.795072857495678,0.012280701754385965
0.7968718592964823,0.015671641791044775
0.8021540800810948,0.015454545454545453
0.7996718000504923,0.007407407407407407
0.8015445939212755,0.010784313725490196
0.7995461422087745,0.006666666666666666
0.799008534136546,0.007142857142857143
0.7997258908547222,0.006730769230769232
0.8002627627627629,0.011702127659574468
0.7992330902690471,0.010377358490566039
0.8001626626626628,0.009782608695652173
0.8010587345601211,0.0077777777777777776
0.8004847129008203,0.011290322580645159
0.7992600953097566,0.011
0.801161029782938,0.008771929824561403
0.7996393931857747,0.008490566037735849
0.7980318883906329,0.006097560975609756
0.8018093336660843,0.0125
0.8014624999999999,0.006521739130434782
0.7996213077505681,0.006603773584905661
0.8002128192288434,0.00967741935483871
0.8008721654622477,0.01477272727272727
0.797915115413254,0.011320754716981133
0.8005946356275304,0.011607142857142854
0.7994162436548223,0.010869565217391306
0.801014970819589,0.011111111111111112
0.7988869213255755,0.010576923076923078
0.8005535983895321,0.00909090909090909
0.799087956021989,0.008196721311475409
0.7985732165206509,0.011764705882352941
0.7997738125157074,0.009999999999999998
0.8013749999999998,0.0125
0.7989089063689419,0.010416666666666666
0.7998386696450733,0.01276595744680851
0.8014439979909593,0.008333333333333333
0.799704433497537,0.012244897959183673
0.7976957945101989,0.006060606060606061
0.8017357642357643,0.012037037037037037
0.8017454815548403,0.008620689655172414
0.8014665672383792,0.01346153846153846
0.7983399900149776,0.00784313725490196
0.800876753507014,0.016666666666666663
0.8005567928730514,0.014000000000000002
0.8015810276679842,0.01666666666666667
0.7998994469582706,0.006578947368421052
0.8003396226415095,0.015254237288135594
0.7995817490494297,0.008163265306122448
0.799488905509848,0.007999999999999998
0.7995420792079208,0.007142857142857143
0.8003844246031747,0.011764705882352941
0.799053077498131,0.009574468085106383
0.8013216957605984,0.009
0.7985732165206508,0.01
0.8010651629072681,0.011224489795918367
0.7993323442136498,0.01090909090909091
0.7998626030477143,0.010655737704918032
0.7990132400699476,0.01627906976744186
0.7994744744744745,0.012195121951219513
0.8010216795414902,0.007142857142857143
0.8016267339218158,0.008181818181818182
0.800338430684382,0.007142857142857143
0.7993787276341948,0.008333333333333333
0.7973637739656911,0.017592592592592594
0.8004463178775106,0.009230769230769232
0.8015586343394359,0.01120689655172414
0.8005482182905557,0.0125
0.8004589431902754,0.009803921568627453
0.8,0.011607142857142858
0.798562421185372,0.009433962264150943
0.7997862710585869,0.017777777777777774
0.7994619619619618,0.013000000000000001
0.8009571788413099,0.009999999999999998
0.8004403623553096,0.007692307692307693
0.798914963411557,0.012244897959183673
0.8007208550832713,0.008888888888888889
0.8005747126436781,0.012727272727272726
0.8003872095928053,0.005813953488372093
0.7993483709273183,0.01477272727272727
0.8024812030075189,0.014166666666666666
0.8022049611626159,0.007692307692307693
0.7998011928429423,0.007432432432432433
0.8001361386138613,0.006521739130434782
0.7980397022332506,0.010317460317460317
0.8008278976417461,0.0034883720930232558
0.7996882793017457,0.006666666666666666
0.8003403933434191,0.009782608695652173
0.8018295739348371,0.011458333333333333
0.7977714143426294,0.008695652173913044
0.8008649198677181,0.007377049180327869
0.800345935260687,0.0069767441860465115
0.8013993003498252,0.01911764705882353
0.7973558897243107,0.010344827586206898
